	Nodes	Loss	Algo1_012_Sym_Diff	Algo1_012_Duration_(sek)	Algo1_120_Sym_Diff	Algo1_120_Duration_(sek)	Algo1_210_Sym_Diff	Algo1_210_Duration_(sek)	Algo2_Sym_Diff	Algo2_Duration_(sek)
2155	20	80	0,0	0,00023	0,0	0,00065	0,0	0,00061	0,0	1,02971
2156	20	60	0,0	0,00027	0,0	0,00169	0,0	0,00167	0,0	1,56401
2157	20	70	0,0	0,00026	0,0	0,00141	0,0	0,00142	0,0	1,69377
2158	20	90	0,621	0,00861	0,621	0,00849	0,453	0,01234	0,4	2,87793
2159	20	90	0,0	0,00027	0,284	0,00123	0,284	0,00645	0,284	3,14716
2160	20	30	0,032	0,01441	0,032	0,01657	0,032	0,01325	0,021	3,46075
2161	20	10	0,0	0,02899	0,0	0,02736	0,0	0,02743	0,0	4,49596
2162	20	20	0,011	0,02841	0,011	0,0256	0,011	0,0253	0,011	5,05767
2163	20	10	0,0	0,0003	0,0	0,0031	0,0	0,00303	0,0	0,54448
2164	20	40	0,021	0,02419	0,021	0,0229	0,021	0,02214	0,0	6,03688
2165	20	20	0,0	0,00029	0,0	0,00269	0,0	0,00289	0,0	0,80525
2166	20	50	0,042	0,02168	0,042	0,02043	0,037	0,02075	0,016	6,73668
2167	20	30	0,0	0,00025	0,0	0,00239	0,0	0,00237	0,0	1,02491
2168	20	60	0,084	0,01767	0,084	0,01592	0,037	0,01718	0,032	6,89754
2169	20	40	0,0	0,0003	0,0	0,00219	0,0	0,00219	0,0	1,23865
2170	20	80	0,258	0,0089	0,258	0,00807	0,216	0,00852	0,3	4,55042
2171	20	50	0,0	0,00025	0,0	0,00185	0,0	0,00184	0,0	1,42915
2172	20	60	0,0	0,00028	0,0	0,00157	0,0	0,00158	0,0	1,54927
2173	20	70	0,0	0,00027	0,0	0,00135	0,0	0,00138	0,0	1,68977
2174	20	80	0,0	0,00025	0,0	0,00109	0,0	0,00107	0,0	1,78276
2175	20	10	0,0	0,00772	0,0	0,01049	0,005	0,0083	0,005	1,41475
2176	20	70	0,195	0,01734	0,2	0,01592	0,111	0,0173	0,105	7,33883
2177	20	20	0,0	0,00659	0,0	0,00795	0,0	0,00724	0,0	1,49259
2178	20	90	0,0	0,00022	0,368	0,00055	0,368	0,00445	0,368	3,08124
2179	20	40	0,005	0,00494	0,005	0,00608	0,005	0,00565	0,0	1,74411
2180	20	30	0,0	0,00916	0,0	0,00783	0,005	0,00717	0,005	2,06664
2181	20	10	0,0	0,00028	0,0	0,00288	0,0	0,00287	0,0	0,54758
2182	20	50	0,016	0,00501	0,005	0,00602	0,016	0,00875	0,011	2,43321
2183	20	20	0,0	0,00027	0,0	0,00276	0,0	0,00275	0,0	0,80747
2184	20	60	0,005	0,00401	0,005	0,00486	0,011	0,00536	0,011	2,56833
2185	20	80	0,005	0,00209	0,005	0,00225	0,011	0,0025	0,011	1,70241
2186	20	90	0,516	0,00683	0,511	0,00605	0,463	0,02421	0,389	8,51381
2187	20	70	0,005	0,00352	0,005	0,00417	0,011	0,00452	0,011	2,80646
2188	20	30	0,0	0,00027	0,0	0,00249	0,0	0,00248	0,0	1,04672
2189	20	60	0,0	0,00024	0,0	0,001	0,0	0,00094	0,0	0,92181
2190	20	40	0,0	0,00026	0,0	0,00213	0,0	0,0021	0,0	1,24825
2191	20	50	0,0	0,00025	0,0	0,00183	0,0	0,00185	0,0	1,40689
2192	20	70	0,0	0,00025	0,0	0,0014	0,0	0,00137	0,0	1,68974
2193	20	80	0,0	0,00025	0,0	0,00107	0,0	0,0011	0,0	1,77403
2194	20	10	0,0	0,01036	0,0	0,00948	0,0	0,01082	0,0	1,43332
2195	20	90	0,547	0,00396	0,547	0,00393	0,516	0,01294	0,421	4,60025
2196	20	20	0,016	0,01492	0,016	0,0148	0,016	0,01711	0,0	2,60083
2197	20	90	0,0	0,00024	0,1	0,00102	0,1	0,00286	0,1	3,34263
2198	20	30	0,011	0,01734	0,016	0,01518	0,016	0,01747	0,011	3,20687
2199	20	40	0,058	0,01173	0,058	0,01022	0,047	0,01281	0,032	3,02702
2200	20	10	0,0	0,00028	0,0	0,00284	0,0	0,00285	0,0	0,54633
2201	20	60	0,063	0,00897	0,063	0,00634	0,079	0,00813	0,074	2,78617
2202	20	20	0,0	0,00028	0,0	0,00285	0,0	0,00321	0,0	0,80504
2203	20	40	0,0	0,00024	0,0	0,00114	0,0	0,00113	0,0	0,6973
2204	20	50	0,037	0,01294	0,037	0,01319	0,037	0,01494	0,026	3,76816
2205	20	30	0,0	0,00029	0,0	0,00246	0,0	0,00247	0,0	1,03279
2206	20	70	0,221	0,00886	0,221	0,00812	0,189	0,00949	0,084	3,63406
2207	20	60	0,0	0,00023	0,0	0,00088	0,0	0,00086	0,0	0,87353
2208	20	10	0,0	0,00018	0,0	0,00157	0,0	0,00153	0,0	0,30678
2209	20	50	0,0	0,00026	0,0	0,00188	0,0	0,00184	0,0	1,41386
2210	20	20	0,0	0,00026	0,0	0,00156	0,0	0,00145	0,0	0,44959
2211	20	70	0,0	0,00028	0,0	0,00141	0,0	0,00138	0,0	1,68503
2212	20	80	0,0	0,00024	0,0	0,00108	0,0	0,00107	0,0	1,77484
2213	20	30	0,0	0,00027	0,0	0,00239	0,0	0,00237	0,0	1,03804
2214	20	40	0,0	0,00025	0,0	0,00124	0,0	0,00117	0,0	0,69783
